Fecha y hora del ciclo Pomodoro:
Y-m-d Fuera del horario laboral. Ciclo Pomodoro pausado.
2025-07-15 Trabajando..., vas 0 minutos
2025-07-15 19:28:08 Trabajando..., vas 0 minutos
2025-07-15 19:29:08 Trabajando..., vas 1 minutos
2025-07-15 19:29:19 Trabajando..., vas 0 minutos
2025-07-15 19:30:19 Trabajando..., vas 1 minutos
2025-07-15 19:31:19 Trabajando..., vas 2 minutos
2025-07-15 19:32:19 Trabajando..., vas 3 minutos
2025-07-15 19:33:19 Trabajando..., vas 4 minutos
2025-07-15 19:33:37 Trabajando..., vas 0 minutos
2025-07-15 19:34:37 Trabajando..., vas 1 minutos
2025-07-15 19:34:47 Trabajando..., vas 0 minutos
2025-07-15 19:35:44 Trabajando..., vas 0 minutos
2025-07-15 19:38:17 Trabajando..., vas 0 minutos
2025-07-15 19:38:28 ¡Hora de cenar!
2025-07-15 19:39:43 ¡Hora de cenar!
2025-07-15 19:40:38 ¡Hora de cenar!
2025-07-15 19:41:55 ¡Hora de cenar!
2025-07-15 19:43:04 ¡Hora de cenar!
2025-07-15 20:43:04 Trabajando..., vas 0 minutos
2025-07-15 20:44:04 Trabajando..., vas 1 minutos
2025-07-15 20:45:04 Trabajando..., vas 2 minutos
2025-07-15 20:46:04 Trabajando..., vas 3 minutos
2025-07-15 20:47:04 Trabajando..., vas 4 minutos
2025-07-15 20:48:04 Trabajando..., vas 5 minutos
2025-07-15 20:49:04 Trabajando..., vas 6 minutos
2025-07-15 20:50:04 Trabajando..., vas 7 minutos
2025-07-15 20:51:04 Trabajando..., vas 8 minutos
2025-07-15 20:52:04 Trabajando..., vas 9 minutos
2025-07-15 20:53:04 Trabajando..., vas 10 minutos
2025-07-15 20:54:04 Trabajando..., vas 11 minutos
2025-07-15 20:55:04 Trabajando..., vas 12 minutos
2025-07-15 20:56:04 Trabajando..., vas 13 minutos
2025-07-15 20:57:04 Trabajando..., vas 14 minutos
2025-07-15 20:58:04 Trabajando..., vas 15 minutos
2025-07-15 20:59:04 Trabajando..., vas 16 minutos
2025-07-15 21:00:04 Trabajando..., vas 17 minutos
2025-07-15 21:01:04 Trabajando..., vas 18 minutos
2025-07-15 21:02:04 Trabajando..., vas 19 minutos
2025-07-15 21:03:04 Trabajando..., vas 20 minutos
2025-07-15 21:04:04 Trabajando..., vas 21 minutos
2025-07-15 21:05:04 Trabajando..., vas 22 minutos
2025-07-15 21:06:04 Trabajando..., vas 23 minutos
2025-07-15 21:07:04 Trabajando..., vas 24 minutos
2025-07-15 21:08:04 ¡Hora de descansar!, vas 0 minutos
2025-07-15 21:09:04 ¡Hora de descansar!, vas 1 minutos
2025-07-15 21:10:04 ¡Hora de descansar!, vas 2 minutos
2025-07-15 21:11:04 ¡Hora de descansar!, vas 3 minutos
